phase,status,round,category,bet_id,pick_id,bet,pick,american_odds,fractional_odds,probability,total_probability,result
1,Hidden,Round 1,Prop Bet,13,54,"More Even or Odd hole scores","Even",-120,6/11,0.5454545454545454,1,Pending
1,Hidden,Round 1,Prop Bet,13,55,"More Even or Odd hole scores","Odd",120,6/5,0.45454545454545453,1,Pending
2,Hidden,Tournament,Top Finisher,14,56,"Win Tournament","Dan Mercer",100,1/1,0.5,1.2575757575757576,Pending
2,Hidden,Tournament,Top Finisher,14,57,"Win Tournament","Garrett Klenke",200,2/1,0.3333333333333333,1.2575757575757576,Pending
2,Hidden,Tournament,Top Finisher,14,58,"Win Tournament","Devin Arand",250,5/2,0.2857142857142857,1.2575757575757576,Pending
2,Hidden,Tournament,Top Finisher,14,59,"Win Tournament","Ethan Kipping",1000,10/1,0.09090909090909091,1.2575757575757576,Pending
2,Hidden,Tournament,Top Finisher,14,60,"Win Tournament","Field",2000,20/1,0.047619047619047616,1.2575757575757576,Pending
2,Hidden,Tournament,Top X Finisher,15,61,"Top 6 Finish","Rob Vemmer",120,6/5,0.45454545454545453,2.311942959001782,Pending
2,Hidden,Tournament,Top X Finisher,15,62,"Top 6 Finish","Alex Leslie",120,6/5,0.45454545454545453,2.311942959001782,Pending
2,Hidden,Tournament,Top X Finisher,15,63,"Top 6 Finish","Dustin Scheller",120,6/5,0.45454545454545453,2.311942959001782,Pending
2,Hidden,Tournament,Top X Finisher,15,64,"Top 6 Finish","Pat Leicht",120,6/5,0.45454545454545453,2.311942959001782,Pending
2,Hidden,Tournament,Top X Finisher,15,65,"Top 6 Finish","Mike Vemmer",120,6/5,0.45454545454545453,2.311942959001782,Pending
2,Hidden,Tournament,Top X Finisher,15,66,"Top 6 Finish","Hayden Schiller",5000,50/1,0.0196078431372549,2.311942959001782,Pending
2,Hidden,Tournament,Top X Finisher,15,67,"Top 6 Finish","Field",5000,50/1,0.0196078431372549,2.311942959001782,Pending
2,Hidden,Round 3,Top Finisher,16,68,"Medalist - Round 3","Dan Mercer",110,11/10,0.47619047619047616,1.7246078518646948,Pending
2,Hidden,Round 3,Top Finisher,16,69,"Medalist - Round 3","Garrett Klenke",120,6/5,0.45454545454545453,1.7246078518646948,Pending
2,Hidden,Round 3,Top Finisher,16,70,"Medalist - Round 3","Ethan Kipping",220,11/5,0.3125,1.7246078518646948,Pending
2,Hidden,Round 3,Top Finisher,16,71,"Medalist - Round 3","Alex Leslie",1000,10/1,0.09090909090909091,1.7246078518646948,Pending
2,Hidden,Round 3,Top Finisher,16,72,"Medalist - Round 3","Devin Arand",1200,12/1,0.07692307692307693,1.7246078518646948,Pending
2,Hidden,Round 3,Top Finisher,16,73,"Medalist - Round 3","Pat Leicht",1200,12/1,0.07692307692307693,1.7246078518646948,Pending
2,Hidden,Round 3,Top Finisher,16,74,"Medalist - Round 3","Dustin Scheller",1500,15/1,0.0625,1.7246078518646948,Pending
2,Hidden,Round 3,Top Finisher,16,75,"Medalist - Round 3","Mike Vemmer",1500,15/1,0.0625,1.7246078518646948,Pending
2,Hidden,Round 3,Top Finisher,16,76,"Medalist - Round 3","Rob Vemmer",1500,15/1,0.0625,1.7246078518646948,Pending
2,Hidden,Round 3,Top Finisher,16,77,"Medalist - Round 3","Jake Kohne",5000,50/1,0.0196078431372549,1.7246078518646948,Pending
2,Hidden,Round 3,Top Finisher,16,78,"Medalist - Round 3","Steve Jones",5000,50/1,0.0196078431372549,1.7246078518646948,Pending
2,Hidden,Round 3,Top Finisher,16,79,"Medalist - Round 3","Field",10000,100/1,0.009900990099009901,1.7246078518646948,Pending
2,Hidden,Round 3,Match,17,80,"Match - Round 3","Jacob Geringer",100,1/1,0.5,1,Pending
2,Hidden,Round 3,Match,17,81,"Match - Round 3","Joey Suntrup",100,1/1,0.5,1,Pending
2,Hidden,Round 3,Match,18,82,"Match - Round 3","Mike Yenzer (E)",100,1/1,0.5,1,Pending
2,Hidden,Round 3,Match,18,83,"Match - Round 3","Evan Shippee (-5)",100,1/1,0.5,1,Pending
2,Hidden,Round 3,Prop Bet,19,84,"More Even or Odd hole scores","Even",-120,6/11,0.5454545454545454,1,Pending
2,Hidden,Round 3,Prop Bet,19,85,"More Even or Odd hole scores","Odd",120,6/5,0.45454545454545453,1,Pending
